201.1;"unit";"single thing";"<P> <U> ADJ. </U> </P> <P> <U> VERB + UNIT </U> </P> ";"<P> <U> ADJ. </U><B> large, small | basic, fundamental </B><I>The family is the basic unit of society. </I><B>| discrete, individual, single </B> </P> <P> <U> VERB + UNIT </U><B> break sth down into, divide sth into </B><I>Large departments were broken down into smaller units. </I> </P> ";"noun"
201.2;"unit";"fixed amount";"<P> <U> ADJ. </U> </P> <P> <U> UNIT + NOUN </U> </P> <P> <U> PREP. </U> </P> <P> <U> PHRASES </U> </P> ";"<P> <U> ADJ. </U><B> basic, standard | monetary | lexical, linguistic </B> </P> <P> <U> UNIT + NOUN </U><B> cost, length, weight </B> </P> <P> <U> PREP. </U><B> ~ of </B><I>a unit of currency a unit of length fifty units of electricity </I> </P> <P> <U> PHRASES </U><B> per unit </B><I>Electricity is ten pence per unit. </I> </P> ";"noun"
201.3;"unit";"group of people";"<P> <U> ADJ. </U> </P> <P> <U> VERB + UNIT </U> </P> ";"<P> <U> ADJ. </U><B> cohesive </B><I>The new manager changed a talented collection of individuals into a cohesive unit. </I><B>| baby, casualty, emergency, intensive care, maternity, psychiatric, surgical, etc. </B><I>She works in the maternity unit at the local hospital. </I><B>| army, enemy, military | intelligence | policy | research | family, social </B><I>the role of the family unit in the community </I> </P> <P> <U> VERB + UNIT </U><B> be attached to </B><I>The cancer research unit is attached to the local university. </I> </P> ";"noun"
201.4;"unit";"piece of furniture/equipment";"<P> <U> ADJ. </U> </P> <P> <U> VERB + UNIT </U> </P> ";"<P> <U> ADJ. </U><B> cooking, kitchen, sink, storage | air-conditioning, control, power, processing, shower </B><I>the central processing unit in a computer </I> </P> <P> <U> VERB + UNIT </U><B> install </B><I>We're having new kitchen units installed. </I> </P>     </script> </div>   </div> <!-- main wrap --> </html> </body> ";"noun"
202;"total";"";"<P> <U> ADJ. </U> </P> <P> <U> VERB + TOTAL </U> </P> <P> <U> TOTAL + VERB </U> </P> <P> <U> PREP. </U> </P> ";"<P> <U> ADJ. </U><B> annual, monthly | combined, cumulative, grand, overall, sum </B><I>His two goals give him a grand total of 32 for the season. The sum total of my knowledge of biology is not impressive. </I><B>| final | high, huge, large, record </B><I>a record total of victories </I><B>| low, small | global, national, world/worldwide | jobless, unemployment </B><I>Britain's jobless total rose by 20,000 last month. </I> </P> <P> <U> VERB + TOTAL </U><B> add up to, give, make (up) </B><I>Their earnings were </I>&pound;</B><I>250, </I>&pound;</B><I>300 and </I>&pound;</B><I>420, giving a total of </I>&pound;</B><I>970. </I><B>| bring, take </B><I>A donation of </I>&pound;</B><I>250 has been received, bringing the total to </I>&pound;</B><I>3,750. </I><B>| achieve </B><I>The Greens achieved a total of 18 seats. </I> </P> <P> <U> TOTAL + VERB </U><B> rise | fall </B> </P> <P> <U> PREP. </U><B> in ~ </B><I>In total, they spent 420 hours on the project. </I><B>| out of a ~ of </B><I>180 vehicles out of a total of 900 examined were not roadworthy. </I><B>| ~ of</B> </P> ";"noun"
203.1;"complex";"";"<P> <U> VERBS </U> </P> <P> <U> ADV. </U> </P> <P> <U> ADJ. </U> </P> <P> <U> VERB + COMPLEX </U> </P> <P> <U> ADJ. </U> </P> <P> <U> VERB + COMPLEX </U> </P> <P> <U> PREP. </U> </P> ";"<P> <U> VERBS </U><B> be, look, seem, sound | become </B> </P> <P> <U> ADV. </U><B> enormously, especially, exceedingly, exceptionally, extraordinarily, extremely, highly, hugely, immensely, incredibly, infinitely, particularly, very </B><I>This is a highly complex matter. </I><B>| increasingly | fairly, quite, rather, relatively, somewhat | surprisingly | unnecessarily | technically </B><I>technically complex surgery </I> </P> ";"adj."
203.2.1;"complex";"set of buildings";"<P> <U> ADJ. </U> </P> <P> <U> VERB + COMPLEX </U> </P> ";"<P> <U> ADJ. </U><B> huge, large, vast | conference, entertainment, factory, holiday, hospital, housing, industrial, leisure, museum, office, shopping, sports </B> </P> <P> <U> VERB + COMPLEX </U><B> build </B> </P> ";"noun"
203.2.2;"complex";"mental/emotional problem";"<P> <U> ADJ. </U> </P> <P> <U> VERB + COMPLEX </U> </P> <P> <U> PREP. </U> </P> ";"<P> <U> ADJ. </U><B> real, terrible | inferiority, superiority | castration, guilt, Oedipus, persecution </B> </P> <P> <U> VERB + COMPLEX </U><B> have, suffer from | develop, get </B><I>Don't keep on at him about his handwriting or he'll get a complex. </I><B>| give sb </B> </P> <P> <U> PREP. </U><B> ~ about </B><I>She has a complex about her big ears. </I> </P> ";"noun"
204.1;"employ";"pay sb to work";"<P> <U> ADV. </U> </P> <P> <U> PREP. </U> </P> <P> <U> PHRASES </U> </P> ";"<P> <U> ADV. </U><B> directly, indirectly </B><I>By 1960 the arms industry in America directly employed 3.5 million people. </I> </P> <P> <U> PREP. </U><B> in </B><I>A large part of the workforce is employed in agriculture. </I> </P> <P> <U> PHRASES </U><B> be fully employed </B><I>10% of 10?15-year-old girls were fully employed as late as 1911. </I><B>| be gainfully employed </B><I>Those not gainfully employed are dependent on their savings. </I><B>| be permanently/temporarily employed, be regularly/irregularly employed </B> </P> ";"verb"
204.2;"employ";"use";"<P> <U> ADV. </U> </P> <P> <U> VERB + EMPLOY </U> </P> ";"<P> <U> ADV. </U><B> commonly, extensively, frequently, often, widely </B><I>The safety net is an image commonly employed in everyday life. </I><B>| generally, usually | actively, deliberately </B><I>teaching that actively employs computers in innovative and fruitful ways </I><B>| successfully, usefully </B> </P> <P> <U> VERB + EMPLOY </U><B> can/could </B><I>The army has far more junior officers than it can usefully employ. </I></P> ";"verb"
204.3;"employ";"be employed: be busy doing sth ";"<P> <U> ADV. </U> </P> <P> <U> PREP. </U> </P> ";"<P> <U> ADV. </U><B> better </B><I>You'd be far better employed taking care of your own affairs. </I><B>| busily, usefully </B> </P> <P> <U> PREP. </U><B> in </B><I>Will and Joe were busily employed in clearing out all the furniture. </I> </P>     </script> </div>   </div> <!-- main wrap --> </html> </body> ";"verb"
205.1;"promote";"encourage sth";"<P> <U> ADV. </U> </P> <P> <U> VERB + PROMOTE </U> </P> <P> <U> PREP. </U> </P> <P> <U> PHRASES </U> </P> ";"<P> <U> ADV. </U><B> strongly </B><I>The idea of equal opportunities was strongly promoted by many Labour MPs. </I><B>| actively, directly | indirectly | deliberately, intentionally </B><I>They claimed that the authorities had deliberately promoted and condoned the violence. </I> </P> <P> <U> VERB + PROMOTE </U><B> aim to, seek to, try to | help (to) </B><I>Basketball stars from the United States have helped promote the sport in Italy and Spain. </I><B>| be designed to </B><I>measures designed to promote economic growth </I><B>| be likely to | serve to, tend to </B><I>Bonus payments to staff serve to promote commitment to the company. </I> </P> <P> <U> PREP. </U><B> through </B><I>Young people's awareness of agricultural issues is promoted through publicity material. </I> </P> <P> <U> PHRASES </U><B> be aimed at promoting sth, be widely promoted, a campaign/scheme to promote sth, efforts/measures to promote sth </B> </P> ";"verb"
